iter	Passed	Remaining
618	1725	1062
619	1728	1059
620	1730	1056
621	1733	1053
622	1736	1051
623	1739	1048
624	1742	1045
625	1744	1042
626	1747	1039
627	1750	1036
628	1753	1033
629	1756	1031
630	1759	1028
631	1762	1026
632	1764	1023
633	1767	1020
634	1770	1017
635	1772	1014
636	1775	1011
637	1778	1008
638	1780	1005
639	1784	1003
640	1786	1000
641	1789	997
642	1792	994
643	1794	992
644	1797	989
645	1799	986
646	1803	983
647	1805	980
648	1808	978
649	1811	975
650	1813	972
651	1816	969
652	1819	966
653	1822	964
654	1825	961
655	1827	958
656	1830	955
657	1833	952
658	1836	950
659	1838	947
660	1841	944
661	1844	941
662	1846	938
663	1849	936
664	1852	933
665	1854	930
666	1857	927
667	1860	924
668	1863	922
669	1866	919
670	1868	916
671	1871	913
672	1873	910
673	1876	907
674	1879	904
675	1882	902
676	1885	899
677	1887	896
678	1890	893
679	1892	890
680	1895	887
681	1898	885
682	1900	882
683	1903	879
684	1906	876
685	1908	873
686	1911	871
687	1914	868
688	1917	865
689	1919	862
690	1922	859
691	1925	857
692	1928	854
693	1931	851
694	1933	848
695	1936	845
696	1939	843
697	1941	840
698	1944	837
699	1947	834
700	1950	831
701	1953	829
702	1956	826
703	1959	823
704	1962	821
705	1965	818
706	1968	815
707	1972	813
708	1974	810
709	1977	807
710	1980	805
711	1983	802
712	1986	799
713	1988	796
714	1991	793
715	1994	790
716	1996	788
717	1999	785
718	2002	782
719	2004	779
720	2007	776
721	2010	773
722	2013	771
723	2015	768
724	2018	765
725	2020	762
726	2023	759
727	2026	757
728	2029	754
729	2032	751
730	2034	748
731	2037	745
732	2040	743
733	2042	740
734	2045	737
735	2048	734
736	2052	732
737	2054	729
738	2057	726
739	2060	724
740	2063	721
741	2066	718
742	2068	715
743	2071	712
744	2074	710
745	2077	707
746	2080	704
747	2084	702
748	2086	699
749	2089	696
750	2092	693
751	2095	691
752	2098	688
753	2101	685
754	2103	682
755	2106	679
756	2109	677
757	2112	674
758	2115	671
759	2117	668
760	2120	666
761	2123	663
762	2126	660
